2
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
39 & 0 & 113 & 138 & 123.223 & 158.223 & 121.68 & 132.02 & 8.79687 & 8.68 & 9.59 & 19.02 & 3.92 & 3.92 & 1
40 & 0 & 124 & 149 & 125.242 & 160.242 & 130.14 & 133.79 & 8.54779 & 6.14 & 2.9 & 9.79 & 0.12 & 0.12 & 1
41 & 0 & 142 & 167 & 151.349 & 186.349 & 150.97 & 160.71 & 9.36133 & 8.97 & 8.99 & 18.71 & 3.55 & 3.55 & 1
42 & 0 & 153 & 178 & 158.591 & 193.591 & 156.95 & 163.66 & 5.06914 & 3.95 & 5.96 & 10.66 & 1.96 & 1.96 & 1
43 & 0 & 182 & 207 & 186.196 & 221.196 & 188.58 & 194.57 & 8.37354 & 6.58 & 5.24 & 12.57 & 1.37 & 1.37 & 1
44 & 0 & 207 & 232 & 209.377 & 244.377 & 213.77 & 218.4 & 9.02336 & 6.77 & 3.88 & 11.4 & 0.6 & 0.6 & 1
45 & 0 & 246 & 271 & 248.991 & 283.991 & 253.7 & 258.59 & 9.59888 & 7.7 & 4.14 & 12.59 & 0.86 & 0.86 & 2
46 & 0 & 248 & 273 & 258.601 & 293.601 & 252.19 & 263.14 & 4.53873 & 4.19 & 10.2 & 15.14 & 4.08 & 4.08 & 1
47 & 0 & 254 & 279 & 261.127 & 296.127 & 261.22 & 269.43 & 8.30293 & 7.22 & 7.46 & 15.43 & 2.61 & 2.61 & 1
48 & 0 & 276 & 301 & 279.015 & 314.015 & 282.35 & 287.08 & 8.06524 & 6.35 & 3.98 & 11.08 & 0.87 & 0.87 & 1
49 & 0 & 278 & 303 & 285.954 & 320.954 & 282.28 & 291.02 & 5.06574 & 4.28 & 7.99 & 13.02 & 2.96 & 2.96 & 1
50 & 0 & 281 & 306 & 291.294 & 326.294 & 285.22 & 295.58 & 4.28597 & 4.22 & 9.61 & 14.58 & 3.95 & 3.95 & 5
51 & 0 & 294 & 319 & 302.923 & 337.923 & 298.3 & 307.62 & 4.69674 & 4.3 & 8.57 & 13.62 & 3.37 & 3.37 & 1
52 & 0 & 299 & 324 & 309.672 & 344.672 & 303.34 & 314.1 & 4.42783 & 4.34 & 10.01 & 15.1 & 4.11 & 4.11 & 1
53 & 0 & 300 & 325 & 303.322 & 338.322 & 306.18 & 311.28 & 7.958 & 6.18 & 4.35 & 11.28 & 1 & 1 & 1
54 & 0 & 301 & 326 & 307.276 & 342.276 & 314.55 & 321.84 & 14.5637 & 13.55 & 6.54 & 20.84 & 2.25 & 2.25 & 1
